,Requested_artist,Suggested_artist,Match_strength
1752,63.0,4922.0,0.1
275,64.0,1983.0,0.18
1272,64.0,70.0,0.14285714285714285
1139,64.0,53.0,0.13846153846153847
497,64.0,3502.0,0.125
449,64.0,1394.0,0.11764705882352941
68,65.0,229.0,0.22887323943661972
196,65.0,190.0,0.20234604105571846
77,65.0,154.0,0.1967654986522911
289,65.0,228.0,0.1449814126394052
380,65.0,182.0,0.14285714285714285
462,66.0,57.0,0.3333333333333333
2044,66.0,80.0,0.18181818181818182
1209,66.0,54.0,0.18181818181818182
7553,66.0,5659.0,0.16666666666666666
6144,66.0,10469.0,0.16666666666666666
21,67.0,55.0,0.34265734265734266
4,67.0,289.0,0.32051282051282054
53,67.0,292.0,0.2694300518134715
18,67.0,89.0,0.24854368932038834
120,67.0,288.0,0.24074074074074073
2145,68.0,1895.0,0.4
804,68.0,1013.0,0.375
4372,68.0,1885.0,0.36363636363636365
1014,68.0,1079.0,0.3333333333333333
1392,68.0,2936.0,0.3076923076923077
1211,69.0,66.0,0.13636363636363635
2083,69.0,3488.0,0.12
508,69.0,63.0,0.11428571428571428
2376,69.0,15920.0,0.10526315789473684
667,69.0,8173.0,0.1
245,70.0,64.0,0.14285714285714285
450,70.0,1394.0,0.08928571428571429
1140,70.0,53.0,0.08333333333333333
381,70.0,182.0,0.07608695652173914
6192,70.0,1397.0,0.075
633,71.0,1505.0,0.13793103448275862
5869,71.0,1601.0,0.1
5966,71.0,2339.0,0.08695652173913043
4433,71.0,4037.0,0.08695652173913043
5421,71.0,3490.0,0.08695652173913043
327,72.0,159.0,0.19931271477663232
0,72.0,51.0,0.18410041841004185
305,72.0,1001.0,0.15765765765765766
3706,72.0,1713.0,0.15458937198067632
1315,72.0,59.0,0.14414414414414414
9450,73.0,78.0,0.25
6687,73.0,11455.0,0.25
8207,73.0,15677.0,0.25
3110,73.0,5617.0,0.25
8204,73.0,3270.0,0.25
10045,74.0,79.0,1.0
4752,74.0,60.0,1.0
9450,74.0,78.0,1.0
746,74.0,62.0,0.5
8493,74.0,76.0,0.3333333333333333
2015,75.0,1014.0,0.2
1392,75.0,2936.0,0.2
2270,75.0,3988.0,0.2
999,75.0,997.0,0.19230769230769232
2543,75.0,999.0,0.1875
7908,76.0,74.0,0.3333333333333333
4752,76.0,60.0,0.3333333333333333
9610,76.0,9632.0,0.3333333333333333
10045,76.0,79.0,0.3333333333333333
9450,76.0,78.0,0.3333333333333333
560,77.0,601.0,0.16
2162,77.0,5255.0,0.14285714285714285
2504,77.0,68.0,0.14285714285714285
6678,77.0,12129.0,0.14285714285714285
6682,77.0,1076.0,0.13333333333333333
10045,78.0,79.0,1.0
4752,78.0,60.0,1.0
7908,78.0,74.0,1.0
746,78.0,62.0,0.5
8494,78.0,76.0,0.3333333333333333
9451,79.0,78.0,1.0
7908,79.0,74.0,1.0
4752,79.0,60.0,1.0
746,79.0,62.0,0.5
8494,79.0,76.0,0.3333333333333333
6146,80.0,5192.0,0.25
1212,80.0,66.0,0.18181818181818182
1334,80.0,1405.0,0.18181818181818182
1209,80.0,54.0,0.16666666666666666
9450,80.0,78.0,0.14285714285714285
933,81.0,238.0,0.17582417582417584
1139,81.0,53.0,0.16455696202531644
144,81.0,1098.0,0.13953488372093023
149,81.0,418.0,0.10218978102189781
1432,81.0,237.0,0.1
2798,82.0,995.0,0.4
4310,82.0,2027.0,0.3333333333333333
2144,82.0,1895.0,0.3333333333333333
2504,82.0,68.0,0.2727272727272727
6587,82.0,6241.0,0.25
1842,84.0,7324.0,0.21739130434782608
1376,84.0,1986.0,0.19047619047619047
1927,84.0,4025.0,0.18181818181818182
2252,84.0,1155.0,0.15151515151515152
1198,84.0,2587.0,0.15
2543,85.0,999.0,0.25
6682,85.0,1076.0,0.25
1853,85.0,2552.0,0.2222222222222222
2504,85.0,68.0,0.21428571428571427
4372,85.0,1885.0,0.2
1860,86.0,10182.0,0.25
9830,86.0,9656.0,0.125
7244,86.0,8284.0,0.125
3244,86.0,10464.0,0.125
6711,86.0,16446.0,0.125
489,88.0,56.0,0.12612612612612611
269,88.0,203.0,0.1
933,88.0,238.0,0.09803921568627451
78,88.0,154.0,0.09027777777777778
1139,88.0,53.0,0.0898876404494382
4,89.0,289.0,0.4868421052631579
120,89.0,288.0,0.4618556701030928
137,89.0,300.0,0.4088983050847458
53,89.0,292.0,0.3558282208588957
87,89.0,466.0,0.31403118040089084
8227,90.0,3414.0,0.3333333333333333
2828,90.0,3406.0,0.3333333333333333
6569,90.0,3409.0,0.3333333333333333
7797,90.0,3412.0,0.3333333333333333
4587,90.0,1053.0,0.3333333333333333
801,91.0,1004.0,0.3
7849,91.0,1008.0,0.2857142857142857
2799,91.0,995.0,0.2857142857142857
3223,91.0,100.0,0.2222222222222222
3460,91.0,1006.0,0.2222222222222222
460,93.0,6150.0,0.3333333333333333
6524,93.0,12738.0,0.3333333333333333
519,93.0,4126.0,0.2857142857142857
4474,93.0,5256.0,0.25
324,93.0,8802.0,0.2222222222222222
6552,95.0,13715.0,0.5
8180,95.0,17525.0,0.5
6446,95.0,17521.0,0.5
2468,95.0,17510.0,0.5
8627,95.0,6585.0,0.5
5037,96.0,2893.0,0.125
1553,96.0,3201.0,0.1111111111111111
1152,96.0,1415.0,0.10810810810810811
3099,96.0,612.0,0.1
1226,96.0,1519.0,0.09375
692,97.0,1934.0,0.23214285714285715
4414,97.0,1936.0,0.16666666666666666
215,97.0,903.0,0.12790697674418605
147,97.0,301.0,0.1111111111111111
485,97.0,3200.0,0.09259259259259259
1403,98.0,5833.0,0.35714285714285715
313,98.0,993.0,0.26666666666666666
1391,98.0,2936.0,0.25
740,98.0,1897.0,0.25
2297,98.0,1027.0,0.21428571428571427
804,99.0,1013.0,0.24
2504,99.0,68.0,0.20833333333333334
313,99.0,993.0,0.1891891891891892
1389,99.0,11794.0,0.15789473684210525
999,99.0,997.0,0.14705882352941177
3459,100.0,1006.0,0.6666666666666666
2544,100.0,999.0,0.4444444444444444
3673,100.0,1891.0,0.42857142857142855
2799,100.0,995.0,0.3333333333333333
801,100.0,1004.0,0.3333333333333333
5186,101.0,4857.0,0.3333333333333333
4865,101.0,4856.0,0.3333333333333333
5635,101.0,4858.0,0.3333333333333333
4543,101.0,4855.0,0.3333333333333333
8690,101.0,15999.0,0.3333333333333333
1543,103.0,1731.0,0.2777777777777778
411,103.0,6159.0,0.25
146,103.0,6151.0,0.2
3023,103.0,1727.0,0.2
4313,103.0,1736.0,0.1875
4245,107.0,3687.0,0.2
142,107.0,1943.0,0.14814814814814814
8460,107.0,11309.0,0.13333333333333333
1667,107.0,9285.0,0.125
3974,107.0,1148.0,0.1111111111111111
5379,120.0,7016.0,1.0
8578,120.0,7023.0,1.0
7298,120.0,7020.0,1.0
153,120.0,7010.0,1.0
7090,120.0,7019.0,1.0
4683,121.0,7688.0,0.5
9420,121.0,13145.0,0.5
4459,121.0,7687.0,0.5
3183,121.0,7682.0,0.5
7456,121.0,13704.0,0.5
3702,126.0,216.0,0.3333333333333333
9670,126.0,15100.0,0.2
10003,126.0,3256.0,0.2
8902,126.0,16779.0,0.2
2372,126.0,3771.0,0.2
6704,137.0,9994.0,1.0
9539,137.0,9996.0,1.0
7675,137.0,9995.0,1.0
3071,137.0,4297.0,0.3333333333333333
7235,137.0,7021.0,0.3333333333333333
5784,138.0,120.0,1.0
7090,138.0,7019.0,1.0
2526,138.0,7012.0,1.0
1028,138.0,7011.0,1.0
7988,138.0,7022.0,1.0
4623,141.0,745.0,1.0
9220,141.0,760.0,1.0
5847,141.0,750.0,1.0
5484,141.0,749.0,0.5
2564,141.0,743.0,0.5
6800,151.0,12732.0,0.25
8290,151.0,16848.0,0.25
172,151.0,9146.0,0.25
9753,151.0,7367.0,0.25
8516,151.0,12735.0,0.25
156,152.0,188.0,0.3
426,152.0,920.0,0.189873417721519
709,152.0,964.0,0.15942028985507245
237,152.0,2006.0,0.15517241379310345
123,152.0,163.0,0.13297872340425532
2015,153.0,1014.0,0.20588235294117646
651,153.0,30.0,0.16129032258064516
2270,153.0,3988.0,0.15
661,153.0,1303.0,0.13636363636363635
1061,153.0,1886.0,0.125
196,154.0,190.0,0.22137404580152673
148,154.0,418.0,0.2108843537414966
9,154.0,227.0,0.1987704918032787
17,154.0,65.0,0.1967654986522911
25,154.0,207.0,0.18384401114206128
750,155.0,5000.0,0.0967741935483871
170,155.0,310.0,0.0945945945945946
11,155.0,265.0,0.08771929824561403
5869,155.0,1601.0,0.08108108108108109
4193,155.0,485.0,0.07894736842105263
7250,156.0,3556.0,0.2
8034,156.0,15036.0,0.2
10124,156.0,5910.0,0.2
7956,156.0,8503.0,0.2
6820,156.0,5906.0,0.2
14,157.0,67.0,0.14098360655737704
89,157.0,285.0,0.13138686131386862
80,157.0,295.0,0.11895910780669144
48,157.0,257.0,0.11707317073170732
54,157.0,292.0,0.09523809523809523
7533,158.0,160.0,1.0
9988,158.0,164.0,1.0
9788,158.0,165.0,0.5
2154,158.0,151.0,0.25
817,158.0,156.0,0.2
112,159.0,72.0,0.19931271477663232
467,159.0,429.0,0.17801047120418848
24,159.0,599.0,0.1583710407239819
83,159.0,441.0,0.1377551020408163
0,159.0,51.0,0.13541666666666666
9988,160.0,164.0,1.0
7394,160.0,158.0,1.0
9788,160.0,165.0,0.5
2154,160.0,151.0,0.25
817,160.0,156.0,0.2
3326,161.0,641.0,0.13333333333333333
640,161.0,332.0,0.13043478260869565
2687,161.0,4562.0,0.0975609756097561
582,161.0,306.0,0.09734513274336283
96,161.0,458.0,0.08823529411764706
50,162.0,1418.0,0.23529411764705882
976,162.0,632.0,0.20754716981132076
2500,162.0,2771.0,0.11764705882352941
1210,162.0,621.0,0.11627906976744186
1807,162.0,6759.0,0.11428571428571428
59,163.0,1412.0,0.2783018867924528
9,163.0,227.0,0.1926829268292683
8,163.0,707.0,0.16733067729083664
331,163.0,959.0,0.16279069767441862
87,163.0,868.0,0.1568627450980392
7394,164.0,158.0,1.0
7534,164.0,160.0,1.0
9789,164.0,165.0,0.5
2154,164.0,151.0,0.25
817,164.0,156.0,0.2
6650,165.0,6252.0,0.5
7394,165.0,158.0,0.5
9988,165.0,164.0,0.5
3215,165.0,11491.0,0.5
7511,165.0,15456.0,0.5
2476,166.0,2616.0,0.12195121951219512
1562,166.0,712.0,0.07692307692307693
4548,166.0,5542.0,0.06896551724137931
362,166.0,499.0,0.06896551724137931
180,166.0,436.0,0.06818181818181818
1694,167.0,58.0,0.1320754716981132
7568,167.0,888.0,0.09090909090909091
1571,167.0,77.0,0.09090909090909091
3431,167.0,6297.0,0.08695652173913043
22,167.0,55.0,0.08227848101265822
1788,170.0,2425.0,0.15
1504,170.0,3411.0,0.14705882352941177
4173,170.0,3775.0,0.125
1256,170.0,1747.0,0.125
382,170.0,444.0,0.1111111111111111
2871,171.0,1384.0,0.12
3936,171.0,1660.0,0.1111111111111111
2423,171.0,1654.0,0.10526315789473684
3922,171.0,4444.0,0.09523809523809523
571,171.0,1375.0,0.09523809523809523
927,172.0,962.0,0.1276595744680851
141,172.0,3739.0,0.11363636363636363
1695,172.0,58.0,0.10294117647058823
381,172.0,182.0,0.08888888888888889
757,172.0,3110.0,0.07692307692307693
196,173.0,190.0,0.1918238993710692
77,173.0,154.0,0.15363128491620112
111,173.0,72.0,0.14150943396226415
68,173.0,229.0,0.1276595744680851
772,173.0,225.0,0.11961722488038277
2810,174.0,1226.0,0.16666666666666666
9102,174.0,3415.0,0.13333333333333333
3225,174.0,5358.0,0.125
4723,174.0,8782.0,0.125
1355,174.0,968.0,0.11538461538461539
3886,175.0,1900.0,0.5
1319,175.0,1800.0,0.2857142857142857
172,175.0,9146.0,0.25
9560,175.0,12737.0,0.25
4862,175.0,6990.0,0.25
391,176.0,2787.0,0.16666666666666666
85,176.0,1372.0,0.16071428571428573
3336,176.0,3470.0,0.14285714285714285
895,176.0,1358.0,0.12857142857142856
2097,176.0,5157.0,0.11538461538461539
8684,178.0,14249.0,0.3333333333333333
3308,178.0,14245.0,0.3333333333333333
438,178.0,2332.0,0.3333333333333333
9104,178.0,11469.0,0.3333333333333333
8772,178.0,10604.0,0.3333333333333333
1390,180.0,11794.0,0.15384615384615385
4688,180.0,1892.0,0.15
1843,180.0,75.0,0.15
3603,180.0,2183.0,0.13333333333333333
1571,180.0,77.0,0.13043478260869565
3754,181.0,10833.0,0.16666666666666666
1087,181.0,2370.0,0.14285714285714285
3586,181.0,1264.0,0.125
296,181.0,370.0,0.1
4813,181.0,6819.0,0.09090909090909091
17,182.0,65.0,0.14285714285714285
69,182.0,229.0,0.1377551020408163
256,182.0,221.0,0.1111111111111111
342,182.0,511.0,0.1037037037037037
2120,182.0,172.0,0.08888888888888889
1355,183.0,968.0,0.125
5986,183.0,4732.0,0.10526315789473684
1427,183.0,422.0,0.10526315789473684
1093,183.0,1113.0,0.1
441,183.0,1134.0,0.09523809523809523
527,184.0,1377.0,0.10869565217391304
101,184.0,204.0,0.1
864,184.0,674.0,0.09375
381,184.0,182.0,0.08860759493670886
634,184.0,1505.0,0.08823529411764706
916,185.0,4996.0,1.0
8641,185.0,4998.0,1.0
4829,185.0,4997.0,0.5
4781,185.0,3273.0,0.5
3441,185.0,1385.0,0.25
296,186.0,370.0,0.15625
2113,186.0,3788.0,0.14285714285714285
226,186.0,1994.0,0.13636363636363635
1847,186.0,3940.0,0.13043478260869565
1175,186.0,6570.0,0.125
935,187.0,998.0,0.23214285714285715
312,187.0,993.0,0.22413793103448276
2015,187.0,1014.0,0.22413793103448276
0,187.0,51.0,0.22
305,187.0,1001.0,0.2
139,188.0,152.0,0.3
426,188.0,920.0,0.22077922077922077
2066,188.0,812.0,0.19642857142857142
219,188.0,506.0,0.18571428571428572
164,188.0,503.0,0.1566265060240964
3142,189.0,90.0,0.18181818181818182
2598,189.0,3416.0,0.14285714285714285
6067,189.0,1306.0,0.13333333333333333
535,189.0,1854.0,0.10869565217391304
4270,189.0,10870.0,0.1
69,190.0,229.0,0.2222222222222222
25,190.0,207.0,0.221875
78,190.0,154.0,0.22137404580152673
17,190.0,65.0,0.20234604105571846
63,190.0,173.0,0.1918238993710692
617,191.0,2977.0,0.13636363636363635
611,191.0,304.0,0.09803921568627451
5138,191.0,6006.0,0.0967741935483871
3979,191.0,9082.0,0.0967741935483871
571,191.0,1375.0,0.09090909090909091
4316,192.0,2444.0,0.2
741,192.0,730.0,0.13793103448275862
3066,192.0,2861.0,0.13043478260869565
2568,192.0,2629.0,0.125
3909,192.0,4620.0,0.10714285714285714
998,193.0,997.0,0.34375
313,193.0,993.0,0.2972972972972973
2543,193.0,999.0,0.2916666666666667
0,193.0,51.0,0.2073170731707317
3010,193.0,1019.0,0.20689655172413793
5378,194.0,7016.0,0.25
7988,194.0,7022.0,0.25
9775,194.0,10623.0,0.25
5783,194.0,120.0,0.25
4110,194.0,7014.0,0.25
46,195.0,615.0,0.2542372881355932
64,195.0,618.0,0.15151515151515152
15,195.0,217.0,0.15
1358,195.0,426.0,0.14705882352941177
565,195.0,222.0,0.14035087719298245
543,196.0,1109.0,0.17333333333333334
438,196.0,622.0,0.11688311688311688
1591,196.0,3693.0,0.10344827586206896
1161,196.0,433.0,0.09836065573770492
2252,196.0,1155.0,0.09836065573770492
1539,197.0,205.0,0.19047619047619047
3081,197.0,867.0,0.1111111111111111
43,197.0,212.0,0.10714285714285714
1094,197.0,602.0,0.09615384615384616
1237,197.0,4079.0,0.09615384615384616
274,198.0,1044.0,0.1774193548387097
8,198.0,707.0,0.1631578947368421
281,198.0,1104.0,0.14925373134328357
267,198.0,220.0,0.1242603550295858
217,198.0,517.0,0.12396694214876033
773,199.0,225.0,0.19230769230769232
398,199.0,440.0,0.16494845360824742
78,199.0,154.0,0.1597222222222222
15,199.0,217.0,0.1388888888888889
1759,199.0,434.0,0.1348314606741573
4667,200.0,8270.0,0.25
2265,200.0,10564.0,0.2222222222222222
1540,200.0,205.0,0.1875
1508,200.0,3670.0,0.16666666666666666
1951,200.0,17847.0,0.14285714285714285
9199,201.0,2737.0,0.5
8512,201.0,2736.0,0.5
4971,201.0,214.0,0.3333333333333333
4781,201.0,218.0,0.3333333333333333
7076,201.0,213.0,0.3333333333333333
3470,202.0,2628.0,0.125
2568,202.0,2629.0,0.12
49,202.0,1093.0,0.11764705882352941
1131,202.0,1901.0,0.10526315789473684
4466,202.0,989.0,0.1
908,203.0,620.0,0.1724137931034483
467,203.0,429.0,0.14285714285714285
442,203.0,533.0,0.12318840579710146
408,203.0,851.0,0.10975609756097561
78,203.0,154.0,0.10714285714285714
1539,204.0,205.0,0.10714285714285714
7381,204.0,3613.0,0.10526315789473684
3854,204.0,1875.0,0.10526315789473684
2883,204.0,211.0,0.1
2776,204.0,8649.0,0.1
2883,205.0,211.0,0.3
4601,205.0,3666.0,0.21428571428571427
1095,205.0,602.0,0.19230769230769232
79,205.0,197.0,0.19047619047619047
687,205.0,2424.0,0.19047619047619047
1759,206.0,434.0,0.15
815,206.0,199.0,0.10909090909090909
91,206.0,196.0,0.09523809523809523
78,206.0,154.0,0.08243727598566308
772,206.0,225.0,0.07894736842105263
198,207.0,424.0,0.32701421800947866
549,207.0,1048.0,0.25
68,207.0,229.0,0.22676579925650558
555,207.0,1090.0,0.22549019607843138
196,207.0,190.0,0.221875
1369,208.0,428.0,0.24390243902439024
5692,208.0,11237.0,0.11764705882352941
2126,208.0,3371.0,0.11764705882352941
3449,208.0,5429.0,0.1111111111111111
3152,208.0,2131.0,0.1
313,209.0,540.0,0.23728813559322035
243,209.0,537.0,0.18269230769230768
205,209.0,1246.0,0.1826086956521739
2618,209.0,536.0,0.1523809523809524
111,209.0,486.0,0.14814814814814814
816,210.0,199.0,0.12380952380952381
714,210.0,432.0,0.11594202898550725
15,210.0,217.0,0.11304347826086956
773,210.0,225.0,0.11214953271028037
554,210.0,716.0,0.1076923076923077
687,211.0,2424.0,0.35
1540,211.0,205.0,0.3
439,211.0,622.0,0.2619047619047619
283,211.0,3258.0,0.23333333333333334
1386,211.0,2640.0,0.1875
